ticker,company,gics_sector,n_values,E_score,E_families,E_family_list,E_anchor,E_level,S_score,S_families,S_family_list,S_anchor,S_level,G_score,G_families,G_family_list,G_anchor,G_level,e_band_width,n_reliable
HRL,Hormel Foods,Consumer Staples,31,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,44.230769230769226,2
HSIC,Henry Schein,Health Care,17,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
HST,Host Hotels & Resorts,Real Estate,15,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
HSY,Hershey Company (The),Consumer Staples,24,1.5,3,"climate_targets, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,1
HUBB,Hubbell Incorporated,Industrials,12,0.8,1,pollutants,True,partial,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
HUM,Humana,Health Care,16,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
HWM,Howmet Aerospace,Industrials,27,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,50.00000000000001,2
IBKR,Interactive Brokers,Financials,3,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
IBM,IBM,Information Technology,12,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
ICE,Intercontinental Exchange,Financials,7,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
IDXX,Idexx Laboratories,Health Care,12,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
IEX,IDEX Corporation,Industrials,14,0.8,1,pollutants,True,partial,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
IFF,International Flavors & Fragrances,Materials,26,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,16.666666666666664,2
INCY,Incyte,Health Care,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
INTC,Intel,Information Technology,27,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,44.444444444444436,1
INTU,Intuit,Information Technology,16,0.3,1,climate_targets,False,thin,0.7,1,wage_law,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
INVH,Invitation Homes,Real Estate,4,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
IP,International Paper,Materials,34,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,16.666666666666664,3
IQV,IQVIA,Health Care,10,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
IR,Ingersoll Rand,Industrials,23,1.1,2,"climate_targets, pollutants",True,partial,1.7,2,"occupational_safety, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
IRM,Iron Mountain,Real Estate,17,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
ISRG,Intuitive Surgical,Health Care,6,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
IT,Gartner,Information Technology,10,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
ITW,Illinois Tool Works,Industrials,17,1.6,2,"ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,14.444444444444445,1
IVZ,Invesco,Financials,10,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
J,Jacobs Solutions,Industrials,6,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
JBHT,J.B. Hunt,Industrials,12,0.0,0,,False,none,0.7,1,wage_law,False,thin,0.2,1,supply_chain,False,thin,,0
JBL,Jabil,Information Technology,24,1.1,2,"climate_targets, pollutants",True,partial,1.7,2,"occupational_safety, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
JCI,Johnson Controls,Industrials,30,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,,3
JKHY,Jack Henry & Associates,Financials,11,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
JNJ,Johnson & Johnson,Health Care,26,1.5,3,"climate_targets, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,1
JPM,JPMorgan Chase,Financials,13,0.3,1,climate_targets,False,thin,1.1,2,"social_assessment, wage_law",False,partial,0.2,1,supply_chain,False,thin,,0
KDP,Keurig Dr Pepper,Consumer Staples,24,1.5,3,"climate_targets, nature, pollutants",True,strong,1.1,2,"social_assessment, wage_law",False,partial,0.7,2,"commitments, supply_chain",False,thin,,1
KEY,KeyCorp,Financials,9,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
KEYS,Keysight Technologies,Information Technology,20,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
KHC,Kraft Heinz,Consumer Staples,38,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,7.692307692307693,3
KIM,Kimco Realty,Real Estate,10,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
KKR,KKR & Co.,Financials,20,1.1,2,"climate_targets, ghg",True,partial,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,28.57142857142857,0
KLAC,KLA Corporation,Information Technology,23,0.3,1,climate_targets,False,thin,1.7,2,"occupational_safety, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
KMB,Kimberly-Clark,Consumer Staples,30,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,26.92307692307692,2
KMI,Kinder Morgan,Energy,22,1.6,2,"ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,6.25,1
KO,Coca-Cola Company (The),Consumer Staples,24,1.5,3,"climate_targets, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.2,1,supply_chain,False,thin,,2
KR,Kroger,Consumer Staples,26,1.5,3,"climate_targets, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,2
KVUE,Kenvue,Consumer Staples,18,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
L,Loews Corporation,Financials,14,0.8,1,ghg,True,partial,0.0,0,,False,none,1.2,2,"compliance, supply_chain",True,partial,4.761904761904759,0
LDOS,Leidos,Industrials,15,0.0,0,,False,none,1.7,2,"occupational_safety, wage_law",True,strong,0.2,1,supply_chain,False,thin,,1
LEN,Lennar,Consumer Discretionary,14,0.3,1,climate_targets,False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.2,1,supply_chain,False,thin,,0
LH,Labcorp,Health Care,17,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
LHX,L3Harris,Industrials,19,0.8,1,pollutants,True,partial,1.7,2,"occupational_safety, wage_law",True,strong,0.2,1,supply_chain,False,thin,,1
LII,Lennox International,Industrials,23,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,,1
LIN,Linde plc,Materials,32,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,16.66666666666668,2
LITE,Lumentum,Information Technology,17,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
LLY,Lilly (Eli),Health Care,26,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,90.0,2
LMT,Lockheed Martin,Industrials,25,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,37.5,2
LNT,Alliant Energy,Utilities,21,2.6,3,"generation, ghg, pollutants",True,strong,0.0,0,,False,none,1.2,2,"compliance, supply_chain",True,partial,28.042328042328037,1
LOW,Lowe's,Consumer Discretionary,25,0.3,1,climate_targets,False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
LRCX,Lam Research,Information Technology,24,1.1,2,"climate_targets, pollutants",True,partial,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
LULU,Lululemon Athletica,Consumer Discretionary,15,0.7,2,"climate_targets, nature",False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.2,1,supply_chain,False,thin,,0
LUV,Southwest Airlines,Industrials,20,0.3,1,climate_targets,False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.2,1,supply_chain,False,thin,,1
LVS,Las Vegas Sands,Consumer Discretionary,11,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
LYB,LyondellBasell,Materials,26,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,16.66666666666667,1
LYV,Live Nation Entertainment,Communication Services,6,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
MA,Mastercard,Financials,15,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
MAA,Mid-America Apartment Communities,Real Estate,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
MAR,Marriott International,Consumer Discretionary,22,0.3,1,climate_targets,False,thin,1.7,2,"occupational_safety, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
MAS,Masco,Industrials,19,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
MCD,McDonald's,Consumer Discretionary,27,0.7,2,"climate_targets, nature",False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
MCHP,Microchip Technology,Information Technology,27,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,45.45454545454545,1
MCK,McKesson Corporation,Health Care,12,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
MCO,Moody's Corporation,Financials,13,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
MDLZ,Mondelez International,Consumer Staples,37,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,,3
MDT,Medtronic,Health Care,19,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
MET,MetLife,Financials,13,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
META,Meta Platforms,Communication Services,17,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
MGM,MGM Resorts,Consumer Discretionary,28,1.1,2,"climate_targets, ghg",True,partial,1.7,2,"occupational_safety, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,50.0,2
MKC,McCormick & Company,Consumer Staples,29,1.5,3,"climate_targets, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,2
MLM,Martin Marietta Materials,Materials,32,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,16.666666666666668,2
MMM,3M,Industrials,37,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,32.02614379084967,3
MNST,Monster Beverage,Consumer Staples,14,0.7,2,"climate_targets, nature",False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
MO,Altria,Consumer Staples,28,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,15.384615384615373,2
MOS,Mosaic Company (The),Materials,32,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,11.111111111111128,2
MPC,Marathon Petroleum,Energy,30,1.9,3,"climate_targets, ghg, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,31.25,2
MPWR,Monolithic Power Systems,Information Technology,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
MRK,Merck & Co.,Health Care,25,2.4,3,"generation, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,50.0,1
MRNA,Moderna,Health Care,22,0.7,2,"climate_targets, nature",False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
MRSH,Marsh McLennan,Financials,12,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
MRVL,Marvell Technology,Information Technology,11,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
MS,Morgan Stanley,Financials,16,1.1,2,"climate_targets, ghg",True,partial,0.4,1,social_assessment,False,thin,1.2,2,"compliance, supply_chain",True,partial,,0
MSCI,MSCI,Financials,13,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
MSFT,Microsoft,Information Technology,17,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
MSI,Motorola Solutions,Information Technology,12,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
MTB,M&T Bank,Financials,10,0.0,0,,False,none,0.7,1,wage_law,False,thin,0.2,1,supply_chain,False,thin,,0
MTD,Mettler Toledo,Health Care,22,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
MU,Micron Technology,Information Technology,27,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,45.55555555555556,1
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,11,0.7,2,"climate_targets, nature",False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
NDAQ,"Nasdaq, Inc.",Financials,13,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
NDSN,Nordson Corporation,Industrials,14,0.8,1,pollutants,True,partial,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
NEE,NextEra Energy,Utilities,29,2.9,4,"climate_targets, generation, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,48.888888888888886,1
NEM,Newmont,Materials,28,2.5,4,"climate_targets, ghg, nature, pollutants",True,strong,0.4,1,social_assessment,False,thin,1.7,3,"commitments, compliance, supply_chain",True,strong,5.555555555555557,2
NFLX,Netflix,Communication Services,22,0.3,1,climate_targets,False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
NI,NiSource,Utilities,24,1.8,2,"ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,18.51851851851852,1
NKE,"Nike, Inc.",Consumer Discretionary,22,0.7,2,"climate_targets, nature",False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
NOC,Northrop Grumman,Industrials,22,1.6,2,"ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,43.05555555555556,1
NOW,ServiceNow,Information Technology,15,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
NRG,NRG Energy,Utilities,32,2.1,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,14.81481481481481,2
NSC,Norfolk Southern,Industrials,23,1.1,2,"climate_targets, ghg",True,partial,0.7,1,wage_law,False,thin,1.7,3,"commitments, compliance, supply_chain",True,strong,33.33333333333333,1
NTAP,NetApp,Information Technology,17,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
NTRS,Northern Trust,Financials,18,0.3,1,climate_targets,False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
NUE,Nucor,Materials,27,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,16.666666666666664,1
