ticker,anlagen,freisetzung_lbs,krebs_lbs,company,gics_sector
STE,9,5925.49,253.01,Steris,Health Care
STLD,15,565780.656,25237.599000000002,Steel Dynamics,Materials
STX,1,3228.88,0.0,Seagate Technology,Information Technology
STZ,1,0.0,0.0,Constellation Brands,Consumer Staples
SW,26,7844175.2069999995,216010.746,Smurfit Westrock,Materials
SWK,18,26165.535,558.505,Stanley Black & Decker,Industrials
SWKS,1,169847.64,0.0,Skyworks Solutions,Information Technology
SYK,1,19988.0,12764.0,Stryker Corporation,Health Care
TAP,6,79515.0,0.0,Molson Coors Beverage Company,Consumer Staples
TDG,4,22055.066,21878.386,TransDigm Group,Industrials
TDY,5,1087.606,242.606,Teledyne Technologies,Information Technology
TEL,8,1662.1,1226.1,TE Connectivity,Information Technology
TMO,11,374807.504,6895.5599999999995,Thermo Fisher Scientific,Health Care
TRGP,31,43299720.910000004,484837.76,Targa Resources,Energy
TSLA,5,1532274.521,158881.311,"Tesla, Inc.",Consumer Discretionary
TSN,78,10670854.32,4025.94,Tyson Foods,Consumer Staples
TT,13,873.9639999999999,651.422,Trane Technologies,Industrials
TXN,5,119992.58,0.0,Texas Instruments,Information Technology
TXT,11,71457.325,20700.27,Textron,Industrials
VLO,34,3319230.312,181200.731,Valero Energy,Energy
VLTO,4,2929.666,9.666,Veralto,Industrials
VMC,16,435.63,0.6000000000000001,Vulcan Materials Company,Materials
VRT,2,44.209,0.732,Vertiv,Industrials
VST,13,1807746.259,135213.134,Vistra Corp.,Utilities
VTRS,1,128424.235,13993.314999999999,Viatris,Health Care
WAB,17,422329.76,58966.5,Wabtec,Industrials
WAT,1,10.046,0.0,Waters Corporation,Health Care
WDC,1,69920.0,0.0,Western Digital,Information Technology
WEC,3,1207177.49,7.41,WEC Energy Group,Utilities
WHR,10,218043.173,28870.042999999998,,
WM,7,26578056.836999997,10155054.614,Waste Management,Industrials
WMB,20,225213.0,71521.3,Williams Companies,Energy
WMT,1,8247.1,0.0,Walmart,Consumer Staples
WY,17,637146.617,52146.849,Weyerhaeuser,Real Estate
XEL,8,1380521.936,17063.171,Xcel Energy,Utilities
XOM,30,4834381.552,258896.222,ExxonMobil,Energy
XYL,5,18841.945,7.52,Xylem Inc.,Industrials
ZBH,6,1722.83,331.579,Zimmer Biomet,Health Care
ZTS,1,5.391,0.0,Zoetis,Health Care
