ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
HON,2021,713795.359197,10,0.945,34392.0,20.754691765439638,Honeywell Technologies,Industrials,Industrial Conglomerates
HON,2022,582799.3261000001,10,0.945,35466.0,16.432620709975755,Honeywell Technologies,Industrials,Industrial Conglomerates
HON,2023,381602.9292,10,0.945,33009.0,11.560572243933473,Honeywell Technologies,Industrials,Industrial Conglomerates
HPQ,2018,349750.20780000003,2,0.9,58472.0,5.981498970447394,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,2019,350011.8036,3,0.9,58756.0,5.957039342365035,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,2020,335624.429,3,0.9,56638.0,5.925781789611215,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,2021,355605.5044,3,0.9,63460.0,5.603616520642924,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,2022,348142.49460000003,3,0.9,62910.0,5.533977024320459,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,2023,357133.7704,3,0.9,53718.0,6.648307278752001,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HRL,2018,50575.06,1,1.0,9545.7,5.298203379532144,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HRL,2019,61277.02,1,1.0,9497.317,6.452034822045005,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HRL,2020,58895.028,1,1.0,9608.462,6.1294958547996545,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HRL,2021,65120.704000000005,1,1.0,11386.189,5.719271303155077,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HRL,2022,60619.372,1,1.0,12458.806,4.8655843906711445,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HRL,2023,58585.68,1,1.0,12110.01,4.837789564170468,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HWM,2020,121121.35,3,1.0,5259.0,23.03125118843887,Howmet Aerospace,Industrials,Aerospace & Defense
HWM,2021,111014.58600000001,3,1.0,4972.0,22.32795374094932,Howmet Aerospace,Industrials,Aerospace & Defense
HWM,2022,116969.46200000001,3,1.0,5663.0,20.65503478721526,Howmet Aerospace,Industrials,Aerospace & Defense
HWM,2023,124137.594,3,1.0,6640.0,18.69542078313253,Howmet Aerospace,Industrials,Aerospace & Defense
