ticker,company,gics_sector,n_values,E_score,E_families,E_family_list,E_anchor,E_level,S_score,S_families,S_family_list,S_anchor,S_level,G_score,G_families,G_family_list,G_anchor,G_level,e_band_width,n_reliable
LVS,Las Vegas Sands,Consumer Discretionary,11,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
LDOS,Leidos,Industrials,13,0.0,0,,False,keine,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.2,1,lieferkette,False,dünn,,1
LEN,Lennar,Consumer Discretionary,12,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
LII,Lennox International,Industrials,20,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,,1
LLY,Lilly (Eli),Health Care,29,1.6,2,"ghg, schadstoffe",True,belastbar,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,1.6,3,"greenwashing, lieferkette, regeltreue",True,belastbar,90.0,3
LIN,Linde plc,Materials,39,2.8,5,"ghg, klimaziele, natur, schadstoffe, trend",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,2.1,4,"greenwashing, lieferkette, regeltreue, zusagen",True,belastbar,16.66666666666668,2
LYV,Live Nation Entertainment,Communication Services,6,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
LMT,Lockheed Martin,Industrials,32,2.1,3,"ghg, schadstoffe, trend",True,belastbar,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,1.6,3,"greenwashing, lieferkette, regeltreue",True,belastbar,37.5,3
L,Loews Corporation,Financials,23,1.3,2,"ghg, trend",True,eingeschränkt,0.0,0,,False,keine,1.6,3,"greenwashing, lieferkette, regeltreue",True,belastbar,4.761904761904759,1
LOW,Lowe's,Consumer Discretionary,23,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,1
LULU,Lululemon Athletica,Consumer Discretionary,13,0.7,2,"klimaziele, natur",False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
LITE,Lumentum,Information Technology,15,0.3,1,klimaziele,False,dünn,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
LYB,LyondellBasell,Materials,33,2.8,5,"ghg, klimaziele, natur, schadstoffe, trend",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.6,3,"greenwashing, lieferkette, regeltreue",True,belastbar,16.66666666666667,2
MTB,M&T Bank,Financials,10,0.0,0,,False,keine,0.7,1,lohnrecht,False,dünn,0.2,1,lieferkette,False,dünn,,0
MPC,Marathon Petroleum,Energy,37,2.4,4,"ghg, klimaziele, schadstoffe, trend",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.6,3,"greenwashing, lieferkette, regeltreue",True,belastbar,31.25,3
