ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
SJM,30.76923076923077,53.84615384615385,76.92307692307693,46.15384615384616,5.733333333333333,0.8666666666666666,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,0.9523809523809522
DUK,40.74074074074074,51.85185185185185,64.28571428571429,23.54497354497355,0.0,0.0,Duke Energy,Utilities,Electric Utilities,1.0
DAL,40.0,50.0,66.66666666666666,26.666666666666657,2.466666666666667,0.4,Delta Air Lines,Industrials,Passenger Airlines,1.0
AEE,20.0,50.0,66.66666666666666,46.66666666666666,4.333333333333334,18.2,Ameren,Utilities,Multi-Utilities,1.0
VTRS,30.0,50.0,80.0,50.0,10.6,9.066666666666666,Viatris,Health Care,Pharmaceuticals,1.0
TMO,20.0,50.0,70.0,50.0,8.266666666666666,10.466666666666667,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1.0
PKG,50.0,50.0,61.111111111111114,11.111111111111114,0.0,0.0,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,1.0
PSX,33.33333333333333,50.0,66.66666666666666,33.33333333333333,0.06666666666666667,0.33333333333333337,Phillips 66,Energy,Oil & Gas Refining & Marketing,1.0
DIS,50.0,50.0,50.0,0.0,3.3333333333333335,0.0,Walt Disney Company (The),Communication Services,Movies & Entertainment,1.0
HII,29.411764705882355,50.0,77.77777777777779,48.36601307189543,9.2,2.8666666666666667,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1.0
GE,22.22222222222222,50.0,87.5,65.27777777777777,12.866666666666667,8.533333333333333,GE Aerospace,Industrials,Aerospace & Defense,0.9500000000000001
F,25.0,50.0,75.0,50.0,9.0,0.0,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1.0
HPQ,18.181818181818183,50.0,63.63636363636363,45.45454545454545,4.0,14.533333333333335,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.9
GIS,30.76923076923077,46.15384615384615,69.23076923076923,38.46153846153845,1.2,2.0666666666666664,General Mills,Consumer Staples,Packaged Foods & Meats,1.0
BG,23.076923076923077,46.15384615384615,69.23076923076923,46.153846153846146,3.5999999999999996,2.7333333333333334,Bunge Global,Consumer Staples,Agricultural Products & Services,0.9
RTX,22.22222222222222,45.7516339869281,77.77777777777779,55.555555555555564,9.666666666666666,8.0,RTX Corporation,Industrials,Aerospace & Defense,0.9187500000000001
INTC,22.22222222222222,44.44444444444444,66.66666666666666,44.444444444444436,3.2,7.866666666666666,Intel,Information Technology,Semiconductors,0.9809523809523809
PNW,33.33333333333333,44.44444444444444,60.0,26.66666666666667,0.06666666666666667,0.06666666666666667,Pinnacle West Capital,Utilities,Multi-Utilities,0.9969696969696971
LYB,33.33333333333333,44.44444444444444,50.0,16.66666666666667,0.0,0.26666666666666666,LyondellBasell,Materials,Specialty Chemicals,0.9916887709991157
OKE,33.33333333333333,44.44444444444444,62.5,29.16666666666667,0.8666666666666666,0.33333333333333337,Oneok,Energy,Oil & Gas Storage & Transportation,0.9990119928761415
