ticker,company,gics_sector,intensity_cagr,absolute_cagr,intensity_illusion,illusion_gap,base_year_ratio,match_confidence,years_observed,base_year_flag,flags
GOOG,Alphabet Inc. (Class C),Communication Services,-0.23661452750467027,-0.09327116304974803,False,0.14334336445492224,1.0,1.0,5,False,0
MPC,Marathon Petroleum,Energy,-0.14184494227314914,-0.0194177196447457,False,0.12242722262840344,1.0412322935795575,0.9696710195249597,6,False,0
EQT,EQT Corporation,Energy,-0.16845825230134825,-0.04699850559745611,False,0.12145974670389215,1.0298584097898678,0.9598278911204607,6,False,0
QCOM,Qualcomm,Information Technology,-0.15591005485666143,-0.0413697105892461,False,0.11454034426741533,1.0374831885799087,1.0,6,False,0
PFE,Pfizer,Health Care,-0.12524828037552704,-0.016565683693410382,False,0.10868259668211666,0.991334844651971,1.0,6,False,0
NUE,Nucor,Materials,-0.11827166528509869,-0.010171851380913255,False,0.10809981390418544,1.0317671554846826,1.0,6,False,0
SRE,Sempra,Utilities,0.0273663705881515,0.12870402869259023,False,0.10133765810443873,0.561225172886423,0.8586996336996338,6,False,0
EOG,EOG Resources,Energy,-0.09591147036378489,-0.004224317182840109,False,0.09168715318094478,1.0275488870949634,0.9995421245421245,6,False,0
VLO,Valero Energy,Energy,-0.08605269770023638,-0.0017274213983844433,False,0.08432527630185194,1.0237542203419403,1.0,6,False,0
CVX,Chevron Corporation,Energy,-0.10678297172295959,-0.02302033804138759,False,0.083762633681572,1.0476757386978583,0.9996666666666667,6,False,0
PCG,PG&E Corporation,Utilities,-0.08409490669756314,-0.010584434536790144,False,0.073510472160773,0.982786467696471,0.9794871794871794,6,False,0
PEP,PepsiCo,Consumer Staples,-0.08895821751319255,-0.018385118442647896,False,0.07057309907054465,0.9192034703177558,1.0,6,False,0
BRK-B,Berkshire Hathaway,Financials,-0.08976978451756423,-0.022537382590010813,False,0.06723240192755342,1.010282869002308,0.9963027717665375,6,False,0
WM,Waste Management,Industrials,-0.08042024756076493,-0.013338832304255255,False,0.06708141525650968,0.9825846256936963,1.0,6,False,0
GS,Goldman Sachs,Financials,-0.07575615096110333,-0.014876743673490456,False,0.060879407287612874,1.056820878477018,1.0,6,False,0
BF-B,Brown–Forman,Consumer Staples,0.05512985352428701,0.11583436731067298,False,0.06070451378638597,0.9090083793098631,1.0,6,False,0
DAL,Delta Air Lines,Industrials,-0.062371274183126824,-0.003970085513176014,False,0.05840118866995081,0.9574260697485856,1.0,6,False,0
PNW,Pinnacle West Capital,Utilities,-0.07501415008348755,-0.02280636044841211,False,0.05220778963507544,1.0446777880943479,0.9969696969696971,6,False,0
ED,Consolidated Edison,Utilities,-0.06346884164175826,-0.013941143633639519,False,0.04952769800811874,1.0758230538816362,1.0,6,False,0
EVRG,Evergy,Utilities,0.00014628318479603664,0.047163355228935,False,0.04701707204413896,0.6929915357295674,0.9899999999999999,6,False,0
PG,Procter & Gamble,Consumer Staples,-0.052790304108210506,-0.008430577996722755,False,0.04435972611148775,0.9935424162370343,1.0,6,False,0
AES,AES Corporation,Utilities,-0.08200080948122723,-0.038752749627418925,False,0.04324805985380831,1.0812064339595153,1.0,6,False,0
AMGN,Amgen,Health Care,0.09503982937293642,0.13443848672773684,False,0.039398657354800415,0.6381296131465419,1.0,6,False,0
LMT,Lockheed Martin,Industrials,-0.08199583999899906,-0.04282269384136117,False,0.039173146157637895,1.0719079382376402,1.0,6,False,0
GLW,Corning Inc.,Information Technology,-0.06524167540260073,-0.02727302837287804,False,0.03796864702972269,0.9930790772042936,1.0,6,False,0
PKG,Packaging Corporation of America,Materials,-0.042114636920371096,-0.006675664704410278,False,0.03543897221596082,0.9953426813642967,1.0,6,False,0
D,Dominion Energy,Utilities,-0.037556104030701976,-0.002573747261589765,False,0.03498235676911221,0.840144891876087,1.0,6,False,0
ITW,Illinois Tool Works,Industrials,0.15415970768113896,0.18550654934128952,False,0.03134684166015056,0.7516054724761767,1.0,6,False,0
PPG,PPG Industries,Materials,0.37176370289334226,0.39389946275643095,False,0.02213575986308869,0.599516210553725,1.0,6,False,0
SJM,J.M. Smucker Company (The),Consumer Staples,-0.023799952304171534,-0.004669227475727511,False,0.019130724828444023,0.9839891617572487,0.9523809523809522,5,False,0
EXE,Expand Energy,Energy,-0.0812544464106264,-0.072912303933928,False,0.0083421424766984,0.9994159393529491,0.9500000000000001,6,False,0
HPQ,HP Inc.,Information Technology,0.015893900754753387,0.012841117407723868,False,-0.0030527833470295196,0.9709607469288187,0.9,6,False,0
TXT,Textron,Industrials,0.032235090692748436,0.025884058217454653,False,-0.006351032475293783,0.7514680780150014,1.0,6,False,0
KMB,Kimberly-Clark,Consumer Staples,0.010939080888388908,-0.006661662400815782,False,-0.01760074328920469,1.0081373065161974,1.0,6,False,0
EXC,Exelon,Utilities,-0.5047004320750069,-0.532919433690561,False,-0.02821900161555413,1.0944334615031133,1.0,6,False,0
IP,International Paper,Materials,0.0191842549063157,-0.019094562461142273,False,-0.038278817367457973,1.0082680314930046,1.0,6,False,0
