ticker,company,gics_sector,gics_sub_industry,years_observed,year_last,scope1_t,revenue_musd,co2_intensity,n_facilities,match_confidence,intensity_cagr,absolute_cagr,base_year_ratio,intensity_illusion,illusion_gap
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,6,2023,21560559.85408879,196913.0,109.49282096199231,90,0.999808429118774,-0.10678297172295959,-0.02302033804138759,1.0476757386978583,False,0.083762633681572
D,Dominion Energy,Utilities,Multi-Utilities,6,2023,29414584.6822,13487.0,2180.958306680507,47,1.0,-0.037556104030701976,-0.002573747261589765,0.840144891876087,False,0.03498235676911221
DAL,Delta Air Lines,Industrials,Passenger Airlines,6,2023,1256096.862,58048.0,21.638934364663726,2,1.0,-0.062371274183126824,-0.003970085513176014,0.9574260697485856,False,0.05840118866995081
DD,DuPont,Industrials,Industrial Conglomerates,6,2023,195527.252,6614.0,29.562632597520413,11,0.9170853827974571,-0.34581460641639394,-0.43166124625808877,6.987005390765794,False,-0.08584663984169483
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,6,2023,45075.880000000005,61251.0,0.7359207196617199,3,1.0,-0.16384808042842824,-0.07425461263345356,1.115758242075123,False,0.08959346779497468
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,6,2023,108269.89074,88898.0,1.2179114349029225,1,1.0,-0.06033933617191756,0.01101087359037356,1.0071947062579532,True,0.07135020976229112
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,5,2023,0.0,7684.476,0.0,1,1.0,,,,False,
DOW,Dow Inc.,Materials,Commodity Chemicals,6,2023,16645248.8045,44622.0,373.0278518331765,19,0.9894956140350878,-0.0025313132006750116,0.01673516741637915,0.8976933308658687,True,0.01926648061705416
DUK,Duke Energy,Utilities,Electric Utilities,6,2023,72775625.1168672,28674.0,2538.035332247583,54,1.0,-0.08679189575214696,-0.04726750917259537,1.2436102728567315,False,0.039524386579551596
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,6,2023,4402834.4377427995,15140.0,290.80808703717304,27,0.9938283873118875,-0.22702016921699175,-0.04862069875445352,1.0775741598523396,False,0.17839947046253823
ED,Consolidated Edison,Utilities,Multi-Utilities,6,2023,2697527.378,14476.0,186.34480367504835,9,1.0,-0.06346884164175826,-0.013941143633639519,1.0758230538816362,False,0.04952769800811874
EIX,Edison International,Utilities,Electric Utilities,6,2023,1102588.89792864,16338.0,67.48616097004775,9,0.9990740740740741,-0.026521912843126216,0.04160919200516844,0.7349135253140685,True,0.06813110484829465
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,6,2023,5211851.17,24186.0,215.49041470272059,60,0.9958920353151122,-0.09591147036378489,-0.004224317182840109,1.0275488870949634,False,0.09168715318094478
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,6,2023,1821595.6804,5044.768,361.08611543682485,28,0.9712892180283484,-0.16845825230134825,-0.04699850559745611,1.0298584097898678,False,0.12145974670389215
ES,Eversource Energy,Utilities,Electric Utilities,6,2023,206262.3,11910.705,17.31738801355587,6,1.0,-0.019988713722312368,0.0651682858604421,0.7634566951687911,True,0.08515699958275447
ETR,Entergy,Utilities,Electric Utilities,6,2023,38235121.5185684,12147.412,3147.594032257109,54,0.9963047117685483,-0.026351186278962935,0.011850263342419343,1.0107889795299305,True,0.03820144962138228
EVRG,Evergy,Utilities,Electric Utilities,6,2023,23149009.16598,5345.1,4330.884205343211,18,0.9824074074074073,0.00014628318479603664,0.047163355228935,0.6929915357295674,False,0.04701707204413896
EXC,Exelon,Utilities,Electric Utilities,6,2023,301249.6376,21727.0,13.865220122428315,17,1.0,-0.5047004320750069,-0.532919433690561,1.0944334615031133,False,-0.02821900161555413
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,6,2023,1897947.6800000002,8721.0,217.62959293658986,67,0.9500000000000001,-0.0812544464106264,-0.072912303933928,0.9994159393529491,False,0.0083421424766984
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,6,2023,497625.124,176191.0,2.8243504151744414,15,1.0,-0.06492242247290914,-0.04923026156137045,1.251794217336959,False,0.01569216091153869
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,6,2023,3224708.764,8412.0,383.3462629576795,6,0.9583333333333334,-0.20464214815797666,0.0725396419563229,0.5549807042477064,True,0.27718179011429955
FCX,Freeport-McMoRan,Materials,Copper,6,2023,468237.97400000005,22703.0,20.62449781967141,12,0.9442307692307693,-0.11311113175010712,-0.03830652543508006,1.348959520835286,False,0.07480460631502706
FE,FirstEnergy,Utilities,Electric Utilities,6,2023,15338451.138,12870.0,1191.7988452214452,16,0.9588815789473683,-0.17098656634592335,-0.14021697597414307,2.0264964911442798,False,0.030769590371780287
GE,GE Aerospace,Industrials,Aerospace & Defense,6,2023,272224.39280000003,35348.0,7.7012671947493505,13,0.9500000000000001,0.05274398931047308,-0.1918076708440819,1.675586985396967,False,-0.24455166015455498
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,6,2023,70688.598,19857.2,3.5598472090727795,3,1.0,-0.02350115392972052,0.0121860956914015,0.9515100487925131,True,0.03568724962112202
GLW,Corning Inc.,Information Technology,Electronic Components,6,2023,171577.1979,12588.0,13.63021908960915,11,0.9454545454545454,-0.06524167540260073,-0.02727302837287804,0.9930790772042936,False,0.03796864702972269
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,6,2023,572170.952,157658.0,3.629190729300131,18,1.0,-0.07857243610977382,-0.04171544246858738,1.2222411663047208,False,0.03685699364118644
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,5,2023,15853.469240000002,307394.0,0.05157377580564358,1,1.0,-0.23661452750467027,-0.09327116304974803,1.0,False,0.14334336445492224
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,6,2023,15642.091199999999,46254.0,0.3381781294590738,1,1.0,-0.07575615096110333,-0.014876743673490456,1.056820878477018,False,0.060879407287612874
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,6,2023,53414.518,23018.0,2.3205542618820054,2,0.9833333333333334,-0.0759516173352669,-0.08769107921349495,1.127999013525557,False,-0.011739461878228052
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,6,2023,49706.725999999995,11454.0,4.339682730923695,1,1.0,-0.05134928289080942,0.0116129010514896,0.9922494679582062,True,0.06296218394229902
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,6,2023,381602.9292,33009.0,11.560572243933473,10,0.9458333333333333,-0.09955745427026108,-0.13069633042602324,1.2062821936334696,False,-0.031138876155762163
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",6,2023,357133.7704,53718.0,6.648307278752001,3,0.9,0.007213157148883598,0.004186459625875161,0.9996261646163436,False,-0.003026697523008437
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,6,2023,58585.68,12110.01,4.837789564170468,1,1.0,-0.038398944123000045,0.02321606024775047,0.8463425327826605,True,0.061615004370750515
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,4,2023,124137.594,6640.0,18.69542078313253,3,1.0,-0.06794183686459432,0.012684193102190822,1.0174382537701623,True,0.08062602996678514
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,6,2023,307088.216,11479.0,26.75217492812963,7,1.0,0.33510389692604003,0.7158065276822487,0.2518576924450658,False,0.3807026307562087
INTC,Intel,Information Technology,Semiconductors,6,2023,1128104.6146605,54228.0,20.802991345070815,7,0.9830853174603175,0.009997573362665824,-0.038395880662910775,1.0336257752931572,False,-0.0483934540255766
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,6,2023,5404387.698,16033.0,337.07900567579367,32,1.0,0.0191842549063157,-0.019094562461142273,1.0082680314930046,False,-0.038278817367457973
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,6,2023,0.0,6876.1,0.0,1,1.0,,,,False,
