"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"KO","Coca-Cola Company (The)","Consumer Staples","59","15.58","15.58","15.58","4","4","0","40","10.1","27.8","https://www.worldbenchmarkingalliance.org/company/coca-cola-company"
"PG","Procter & Gamble","Consumer Staples","60","14.70","14.70","14.70","4","4","0","40","14.1","19.4","https://www.worldbenchmarkingalliance.org/company/procter-gamble"
"YUM","Yum! Brands","Consumer Discretionary","61","14.52","14.52","14.52","4","4","0","40","16.9","15.7","https://www.worldbenchmarkingalliance.org/company/yum-brands"
"GEV","GE Vernova","Industrials","62","14.06","14.06","14.06","4","4","0","40","9.9","20.4","https://www.worldbenchmarkingalliance.org/company/ge-vernova"
"SJM","J.M. Smucker Company (The)","Consumer Staples","63","13.82","13.82","13.82","4","4","0","20","12","37.1","https://www.worldbenchmarkingalliance.org/company/jm-smucker"
"MNST","Monster Beverage","Consumer Staples","64","12.92","12.92","12.92","4","4","0","40","7.9","16.7","https://www.worldbenchmarkingalliance.org/company/monster-beverage"
"STZ","Constellation Brands","Consumer Staples","65","12.46","12.46","12.46","4","4","0","40","8.4","13.9","https://www.worldbenchmarkingalliance.org/company/constellation-brands"
"ROST","Ross Stores","Consumer Discretionary","66","10.94","10.94","10.94","4","4","0","40","5.4","9.3","https://www.worldbenchmarkingalliance.org/company/ross-stores"
"BF.B","Brown–Forman","Consumer Staples","67","7.78","7.78","7.78","4","4","0","20","7.8","11.1","https://www.worldbenchmarkingalliance.org/company/brown-forman"
"DRI","Darden Restaurants","Consumer Discretionary","68","7.46","7.46","7.46","4","4","0","20","6.7","10.6","https://www.worldbenchmarkingalliance.org/company/darden-restaurants"
"BLDR","Builders FirstSource","Industrials","69","7.40","7.40","7.40","4","4","0","20","7.7","9.3","https://www.worldbenchmarkingalliance.org/company/builders-firstsource"
"DPZ","Domino's","Consumer Discretionary","70","7.32","7.32","7.32","4","4","0","20","8.3","8.3","https://www.worldbenchmarkingalliance.org/company/dominos"
"TSN","Tyson Foods","Consumer Staples","71","5.48","5.48","5.48","4","4","0","0","10.3","17.1","https://www.worldbenchmarkingalliance.org/company/tyson-foods"
"AOS","A. O. Smith","Industrials","","","0.00","100.00","0","4","","","","",""
"ABT","Abbott Laboratories","Health Care","","","0.00","100.00","0","4","","","","",""
"ACN","Accenture","Information Technology","","","13.64","33.64","3","4","0","40","","28.2","https://www.worldbenchmarkingalliance.org/company/accenture"
"ADBE","Adobe Inc.","Information Technology","","","15.88","35.88","3","4","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/adobe"
"AMD","Advanced Micro Devices","Information Technology","","","0.00","100.00","0","4","","","","",""
"AES","AES Corporation","Utilities","","","14.86","34.86","3","4","0","40","","34.3","https://www.worldbenchmarkingalliance.org/company/aes"
"AFL","Aflac","Financials","","","0.00","100.00","0","4","","","","",""
"A","Agilent Technologies","Health Care","","","0.00","100.00","0","4","","","","",""
"APD","Air Products","Materials","","","0.00","100.00","0","4","","","","",""
"ABNB","Airbnb","Consumer Discretionary","","","8.26","28.26","3","4","0","20","","21.3","https://www.worldbenchmarkingalliance.org/company/airbnb"
"AKAM","Akamai Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"ARE","Alexandria Real Estate Equities","Real Estate","","","0.00","100.00","0","4","","","","",""
"ALGN","Align Technology","Health Care","","","0.00","100.00","0","4","","","","",""
"ALLE","Allegion","Industrials","","","0.00","100.00","0","4","","","","",""
"LNT","Alliant Energy","Utilities","","","0.00","100.00","0","4","","","","",""
"ALL","Allstate","Financials","","","5.94","25.94","3","4","0","20","","9.7","https://www.worldbenchmarkingalliance.org/company/allstate"
"GOOGL/GOOG","Alphabet Inc. (Class A)","Communication Services","","","13.58","33.58","3","4","0","60","","7.9","https://www.worldbenchmarkingalliance.org/company/alphabet"
"MO","Altria","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"AMZN","Amazon","Consumer Discretionary","","","20.34","40.34","3","4","0","60","","41.7","https://www.worldbenchmarkingalliance.org/company/amazon"
"AEE","Ameren","Utilities","","","0.00","100.00","0","4","","","","",""
"AEP","American Electric Power","Utilities","","","0.00","100.00","0","4","","","","",""
"AXP","American Express","Financials","","","17.10","37.10","3","4","0","60","","25.5","https://www.worldbenchmarkingalliance.org/company/american-express"
"AIG","American International Group","Financials","","","7.42","27.42","3","4","0","20","","17.1","https://www.worldbenchmarkingalliance.org/company/american-international-group"
"AMT","American Tower","Real Estate","","","13.12","33.12","3","4","0","60","","5.6","https://www.worldbenchmarkingalliance.org/company/american-tower"
"AWK","American Water Works","Utilities","","","9.38","29.38","3","4","0","40","","6.9","https://www.worldbenchmarkingalliance.org/company/american-water-works"
"AMP","Ameriprise Financial","Financials","","","4.92","24.92","3","4","0","20","","4.6","https://www.worldbenchmarkingalliance.org/company/ameriprise-financial"
"AME","Ametek","Industrials","","","0.00","100.00","0","4","","","","",""
"APH","Amphenol","Information Technology","","","13.94","33.94","3","4","0","40","","29.7","https://www.worldbenchmarkingalliance.org/company/amphenol"
"ADI","Analog Devices","Information Technology","","","11.88","31.88","3","4","0","40","","19.4","https://www.worldbenchmarkingalliance.org/company/analog-devices"
"AON","Aon plc","Financials","","","7.34","27.34","3","4","0","20","","16.7","https://www.worldbenchmarkingalliance.org/company/aon"
"APA","APA Corporation","Energy","","","11.52","31.52","3","4","0","40","","17.6","https://www.worldbenchmarkingalliance.org/company/apa-corporation"
"APO","Apollo Global Management","Financials","","","5.48","25.48","3","4","0","20","","7.4","https://www.worldbenchmarkingalliance.org/company/apollo-global-management"
"AAPL","Apple Inc.","Information Technology","","","15.96","35.96","3","4","0","40","","39.8","https://www.worldbenchmarkingalliance.org/company/apple"
"AMAT","Applied Materials","Information Technology","","","15.42","35.42","3","4","0","60","","17.1","https://www.worldbenchmarkingalliance.org/company/applied-materials"
"APP","AppLovin","Communication Services","","","0.00","100.00","0","4","","","","",""
"APTV","Aptiv","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"ACGL","Arch Capital Group","Financials","","","0.00","100.00","0","4","","","","",""
"ADM","Archer Daniels Midland","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"ARES","Ares Management","Financials","","","0.00","100.00","0","4","","","","",""
"ANET","Arista Networks","Information Technology","","","0.00","100.00","0","4","","","","",""
"AJG","Arthur J. Gallagher & Co.","Financials","","","0.00","100.00","0","4","","","","",""
"AIZ","Assurant","Financials","","","0.00","100.00","0","4","","","","",""
"T","AT&T","Communication Services","","","10.32","30.32","3","4","0","40","","11.6","https://www.worldbenchmarkingalliance.org/company/att"
"ATO","Atmos Energy","Utilities","","","0.00","100.00","0","4","","","","",""
"ADSK","Autodesk","Information Technology","","","0.00","100.00","0","4","","","","",""
"ADP","Automatic Data Processing","Industrials","","","0.00","100.00","0","4","","","","",""
"AZO","AutoZone","Consumer Discretionary","","","6.78","26.78","3","4","0","20","","13.9","https://www.worldbenchmarkingalliance.org/company/autozone"
"AXON","Axon Enterprise","Industrials","","","0.00","100.00","0","4","","","","",""
"BKR","Baker Hughes","Energy","","","0.00","100.00","0","4","","","","",""
"BAC","Bank of America","Financials","","","18.48","38.48","3","4","0","60","","32.4","https://www.worldbenchmarkingalliance.org/company/bank-america"
"BDX","Becton Dickinson","Health Care","","","0.00","100.00","0","4","","","","",""
"BRK.B","Berkshire Hathaway","Financials","","","1.12","21.12","3","4","0","0","","5.6","https://www.worldbenchmarkingalliance.org/company/berkshire-hathaway"
"BBY","Best Buy","Consumer Discretionary","","","13.10","33.10","3","4","0","40","","25.5","https://www.worldbenchmarkingalliance.org/company/best-buy"
"TECH","Bio-Techne","Health Care","","","0.00","100.00","0","4","","","","",""
"BLK","BlackRock","Financials","","","17.18","37.18","3","4","0","60","","25.9","https://www.worldbenchmarkingalliance.org/company/blackrock"
"BX","Blackstone Inc.","Financials","","","5.76","25.76","3","4","0","20","","8.8","https://www.worldbenchmarkingalliance.org/company/blackstone-group"
"XYZ","Block, Inc.","Financials","","","5.48","25.48","3","4","0","20","","7.4","https://www.worldbenchmarkingalliance.org/company/block"
"BNY","BNY Mellon","Financials","","","10.94","30.94","3","4","0","20","","34.7","https://www.worldbenchmarkingalliance.org/company/bny-mellon"
"BA","Boeing","Industrials","","","12.26","32.26","3","4","0","40","","21.3","https://www.worldbenchmarkingalliance.org/company/boeing"
"BKNG","Booking Holdings","Consumer Discretionary","","","18.02","38.02","3","4","0","60","","30.1","https://www.worldbenchmarkingalliance.org/company/booking-holdings"
"BSX","Boston Scientific","Health Care","","","0.00","100.00","0","4","","","","",""
"AVGO","Broadcom","Information Technology","","","8.82","28.82","3","4","0","20","","24.1","https://www.worldbenchmarkingalliance.org/company/broadcom"
"BR","Broadridge Financial Solutions","Industrials","","","0.00","100.00","0","4","","","","",""
"BRO","Brown & Brown","Financials","","","0.00","100.00","0","4","","","","",""
"BG","Bunge Global","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"BXP","BXP, Inc.","Real Estate","","","0.00","100.00","0","4","","","","",""
"CHRW","C.H. Robinson","Industrials","","","0.00","100.00","0","4","","","","",""
"CDNS","Cadence Design Systems","Information Technology","","","0.00","100.00","0","4","","","","",""
"CPT","Camden Property Trust","Real Estate","","","0.00","100.00","0","4","","","","",""
"COF","Capital One","Financials","","","5.76","25.76","3","4","0","20","","8.8","https://www.worldbenchmarkingalliance.org/company/capital-one"
"CAH","Cardinal Health","Health Care","","","0.00","100.00","0","4","","","","",""
"CARR","Carrier Global","Industrials","","","0.00","100.00","0","4","","","","",""
"CVNA","Carvana","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"CASY","Casey's","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"CAT","Caterpillar Inc.","Industrials","","","0.00","100.00","0","4","","","","",""
"CBOE","Cboe Global Markets","Financials","","","0.00","100.00","0","4","","","","",""
"CBRE","CBRE Group","Real Estate","","","16.36","36.36","3","4","0","60","","21.8","https://www.worldbenchmarkingalliance.org/company/cbre-group"
"CDW","CDW Corporation","Information Technology","","","0.00","100.00","0","4","","","","",""
"COR","Cencora","Health Care","","","0.00","100.00","0","4","","","","",""
"CNC","Centene Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"CNP","CenterPoint Energy","Utilities","","","0.00","100.00","0","4","","","","",""
"CRL","Charles River Laboratories","Health Care","","","0.00","100.00","0","4","","","","",""
"SCHW","Charles Schwab Corporation","Financials","","","0.00","20.00","3","4","0","0","","0","https://www.worldbenchmarkingalliance.org/company/charles-schwab"
"CHTR","Charter Communications","Communication Services","","","0.00","100.00","0","4","","","","",""
"CVX","Chevron Corporation","Energy","","","15.22","35.22","3","4","0","40","","36.1","https://www.worldbenchmarkingalliance.org/company/chevron"
"CB","Chubb Limited","Financials","","","11.06","31.06","3","4","0","40","","15.3","https://www.worldbenchmarkingalliance.org/company/chubb"
"CHD","Church & Dwight","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"CIEN","Ciena","Information Technology","","","0.00","100.00","0","4","","","","",""
"CI","Cigna","Health Care","","","0.00","100.00","0","4","","","","",""
"CINF","Cincinnati Financial","Financials","","","0.00","100.00","0","4","","","","",""
"CTAS","Cintas","Industrials","","","0.00","100.00","0","4","","","","",""
"CSCO","Cisco","Information Technology","","","21.64","41.64","3","4","0","60","","48.2","https://www.worldbenchmarkingalliance.org/company/cisco"
"C","Citigroup","Financials","","","15.88","35.88","3","4","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/citigroup"
"CFG","Citizens Financial Group","Financials","","","8.08","28.08","3","4","0","20","","20.4","https://www.worldbenchmarkingalliance.org/company/citizens-financial-group"
"CME","CME Group","Financials","","","0.00","100.00","0","4","","","","",""
"CMS","CMS Energy","Utilities","","","26.20","46.20","3","4","0","100","","31","https://www.worldbenchmarkingalliance.org/company/cms-energy"
"CTSH","Cognizant","Information Technology","","","18.20","38.20","3","4","0","60","","31","https://www.worldbenchmarkingalliance.org/company/cognizant"
